timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,acc_mag_sq,gyro_mag_sq,label_id
1774620315306,0.92958665,-0.18926287,-0.3519249,-0.37796038,-0.24594487,-0.47020635,1.0238029,0.42443693,1
1774620315325,0.8322208,-0.798553,0.06770706,-0.24279729,-0.3810913,-0.48079824,1.3348625,0.43534806,1
1774620315350,0.73668367,-1.2226052,-0.30735397,-0.013040007,-0.38981795,-0.49242267,2.1319327,0.39460814,1
1774620315365,0.8559029,-1.5667899,-1.5640621,0.20154555,-0.27522242,-0.5052628,5.633691,0.37165847,1
1774620315385,1.0077367,-1.7936013,-2.9096289,0.31189433,-0.14329019,-0.5114747,12.698479,0.37941656,1
1774620315405,1.031414,-1.8084064,-3.7989545,0.34710068,-0.10237155,-0.48704344,18.766205,0.36817014,1
1774620315425,0.93353635,-1.7558811,-3.8876042,0.3746962,-0.14588821,-0.4524866,19.068075,0.36642474,1
1774620315448,0.90701085,-1.6196065,-3.604782,0.40080953,-0.18882197,-0.4373815,16.440248,0.3876046,1
1774620315465,1.0561624,-1.3130605,-3.5052767,0.3758453,-0.13534628,-0.41589797,15.126572,0.33254945,1
1774620315484,0.995051,-0.7356477,-3.4103274,0.33837405,-0.022499425,-0.33857387,13.161637,0.22963549,1
1774620315505,0.7590039,0.008467674,-2.5428123,0.38262346,0.12558709,-0.23850057,7.042053,0.21905535,1
1774620315526,0.85604763,0.40424538,-0.7635851,0.51363975,0.086383805,-0.18395904,1.4792941,0.3051289,1
1774620315545,1.164475,0.49558783,0.82165337,0.5551579,-0.041718032,-0.19158652,2.2767234,0.3466461,1
1774620315564,1.3871324,0.64156675,0.5528312,0.45426857,-0.07261103,-0.21718358,2.6413665,0.258801,1
1774620315587,1.3527863,0.95300484,-0.06405735,0.2987877,0.0742098,-0.2398662,2.7423525,0.15231699,1
1774620315604,1.164183,1.3611283,-0.18611526,0.21288687,0.36701876,-0.22271267,3.2426314,0.22962452,1
1774620315625,0.28858083,1.6598725,1.3029895,0.2176832,0.46554327,-0.17101894,4.5362372,0.293364,1
1774620315644,-0.54217124,2.1811528,3.5265965,0.22739242,0.19731547,-0.0923126,17.48826,0.099162325,1
1774620315664,-0.755911,2.5087352,4.1427965,0.022183001,0.017819678,-0.05595712,24.027918,0.003940826,1
1774620315683,-0.602828,2.3455935,1.9788876,-0.47988227,0.1514173,0.117876336,9.781206,0.26710904,1
1774620315704,-1.3599288,2.9475918,0.5525975,-0.8874866,0.17708097,0.45513457,10.843067,1.0261376,1
1774620315727,-2.0839791,2.5009146,3.14353,-0.8189724,-0.12825172,0.64130855,20.479324,1.0984409,1
1774620315744,-1.0588765,0.6986542,5.7709246,-0.3834728,-0.44422626,0.49059072,34.912907,0.58506763,1
1774620315764,0.67952055,-0.84366226,5.3324175,0.018702336,-0.48407906,0.15946114,29.60819,0.26011017,1
1774620315784,1.2379754,-1.1951313,2.3265553,0.1799288,-0.19198622,-0.08286983,8.373781,0.07610048,1
1774620315804,0.50622773,-0.62733746,-0.48903084,0.1496853,0.12265601,-0.13901015,0.88896996,0.056774005,1
1774620315823,-0.7044759,-0.016519547,-1.4931369,0.0013323124,0.175299,-0.023915008,2.726017,0.031303443,1
1774620315843,-1.3793517,0.17310381,-1.8034453,-0.24536198,-0.025863513,0.16853751,5.1849914,0.089276314,1
1774620315863,-1.2153642,-0.16947842,-2.4661655,-0.4618794,-0.23785107,0.32260278,7.5878057,0.37397826,1
1774620315883,-0.404289,-0.8517065,-3.2221174,-0.55074465,-0.28538132,0.37431318,11.270895,0.52487254,1
1774620315904,0.44907176,-1.5800555,-3.768712,-0.48284668,-0.162259,0.33487672,16.901432,0.37161133,1
1774620315922,1.021044,-1.9418185,-3.8203,-0.28538132,0.020550918,0.25983423,19.407883,0.14937866,1
1774620315947,1.2087668,-1.9966259,-3.3927135,-0.047663476,0.10850019,0.16274196,16.958138,0.040529042,1
1774620315963,1.1330657,-1.8602998,-2.7711444,0.11847588,0.01901876,0.108816616,12.423795,0.026239302,1
1774620315983,0.9012548,-1.3732612,-2.6371484,0.15832867,-0.10721784,0.058954824,9.652658,0.0400393,1
1774620316003,1.0712277,-1.0042682,-3.0620174,0.07735739,-0.18111122,0.004896248,11.532034,0.03880941,1
1774620316023,1.0709342,-0.5818882,-3.2956128,-0.012057427,-0.1552477,-0.028877871,12.346558,0.025081163,1
1774620316045,1.0165639,-0.14592457,-2.7242107,0.12745233,-0.048512824,-0.058571782,8.476021,0.022028245,1
1774620316062,0.99729776,0.14727783,-1.0048084,0.3546116,0.03513974,-0.13486332,2.0259337,0.14517231,1
1774620316083,1.0106354,0.35244703,-0.30370712,0.47075593,0.099223964,-0.21207082,1.2378409,0.27643058,1
1774620316102,0.7805721,0.9631109,-0.09472275,0.4414284,0.110798426,-0.20099598,1.5458479,0.2475347,1
1774620316122,0.21354312,1.8133497,0.4808321,0.33594257,0.028894525,-0.12986715,3.5650375,0.13055778,1
1774620316148,0.034518898,2.2852173,1.5684428,0.27980226,-0.115861215,-0.11347971,7.6834226,0.10459077,1
1774620316162,-0.20805651,2.0089269,3.0735073,0.32438475,-0.3352098,-0.13153253,13.525522,0.23489189,1
1774620316182,-0.35917652,2.0317526,4.3121476,0.39726225,-0.6190423,-0.18117782,22.851645,0.57385606,1
1774620316202,0.115012825,2.328312,3.676062,0.25818548,-0.6466878,-0.21651742,18.947697,0.53174466,1
1774620316228,0.7696438,2.5502825,1.2443013,-0.10353733,-0.3763616,-0.2735071,8.644578,0.22717416,1
1774620316242,1.2025399,2.467596,0.18877172,-0.4115513,-0.12770215,-0.30889663,7.5707674,0.28109944,1
1774620316263,0.0982016,2.128439,2.235652,-0.44955552,-0.2407655,-0.24156488,9.538036,0.31842178,1
1774620316282,-0.57171535,1.4349384,4.4621964,-0.28536466,-0.49247262,-0.26459724,22.297102,0.39397398,1
